,Name,Hospital Type,Address,Address_2,City,State,Zipcode,County,Latitude,Longitude,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds - SOURCE,Staffed ICU Beds - SOURCE,Licensed All Beds - SOURCE,All Bed Occupancy Rate - SOURCE,ICU Bed Occupancy Rate - SOURCE,CCM_ID,DH-ID,HCRIS-ID,HIFLD-ID,FIPS
0,IU HEALTH UNIVERSITY HOSPITAL,GENERAL ACUTE CARE,550 UNIVERSITY BLVD,,INDIANAPOLIS,IN,46202,MARION,39.77528,-86.17656,,,,,,None,None,,None,None,100,,,100.0,18097
1,HEALTHSOUTH NEW ENGLAND REHABILIATION AT BEVERLY,REHABILITATION,"800 CUMMINGS CENTER, 1ST FL, UNIT147",,BEVERLY,MA,1915,ESSEX,42.560990000000004,-70.88724,,,20.0,,,None,None,HIFLD-BEDS,None,None,10001915,,,10001915.0,25009
2,ST. JOSEPH'S HOSPITAL,CRITICAL ACCESS,12886 TROXLER AVENUE,,HIGHLAND,IL,62249,MADISON,38.75458,-89.6676,,,,,,None,None,,None,None,100062249,,,100062249.0,17119
3,HOSP SAN CARLOS BORROMEO,GENERAL ACUTE CARE,550 CONCEPCION VERA AYALA,,MOCA,PR,676,MOCA,18.39019,-67.10996999999999,106.0,7.0,106.0,0.49,0.73,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1000676,4294.0,400111.0,1000676.0,72099
4,RIVERVIEW MEDICAL CENTER,GENERAL ACUTE CARE,1 RIVERVIEW PLAZA,,RED BANK,NJ,7701,MONMOUTH,40.35398,-74.06384,274.0,27.0,468.0,0.59,0.42,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10007701,2512.0,310034.0,10007701.0,34025
5,HELEN HAYES HOSPITAL,REHABILITATION,51 NORTH ROUTE 9W,,WEST HARVESTRAW,NY,10993,ROCKLAND,41.21431,-73.98834000000001,155.0,,155.0,,,DH-NUM_STAFFE,None,DH-NUM_STAFFE,None,None,10010993,2695.0,330405.0,10010993.0,36087
6,VA MEDICAL CENTER - BATH,MILITARY,76 VETERANS AVE,,BATH,NY,14810,STEUBEN,42.34405,-77.34751,,,,,,None,None,,None,None,10014810,2705.0,,10014810.0,36101
7,MOSES TAYLOR HOSPITAL,GENERAL ACUTE CARE,700 QUINCY AVENUE,,SCRANTON,PA,18510,LACKAWANNA,41.41069,-75.65057,161.0,11.0,213.0,0.59,0.52,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10018510,3269.0,390119.0,10018510.0,42069
8,TUFTS MEDICAL CENTER,GENERAL ACUTE CARE,800 WASHINGTON STREET,,BOSTON,MA,2111,SUFFOLK,42.3499,-71.064,364.0,98.0,415.0,0.67,0.7,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1002111,1829.0,220116.0,1002111.0,25025
9,HEALTHSOUTH REHABILITATION HOSPITAL OF VIRGINIA,REHABILITATION,5700 FITZHUGH AVENUE,,RICHMOND,VA,23226,HENRICO,37.58594,-77.50671,40.0,0.0,40.0,0.6375342465753424,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10023226,5653.0,493028.0,10023226.0,51087
10,FIRSTHEALTH MOORE REGIONAL HOSPITAL HAMLET,GENERAL ACUTE CARE,1000 WEST HAMLET AVENUE,,HAMLET,NC,28345,RICHMOND,34.90181,-79.70852,,,64.0,,,None,None,HIFLD-BEDS,None,None,10028345,,,10028345.0,37153
11,RHODE ISLAND HOSPITAL,GENERAL ACUTE CARE,593 EDDY STREET,,PROVIDENCE,RI,2903,PROVIDENCE,41.81188,-71.40913,622.0,147.0,719.0,0.81,0.8,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1002903,3347.0,410007.0,1002903.0,44007
12,EVANS MEMORIAL HOSPITAL,GENERAL ACUTE CARE,200 NORTH RIVER STREET,,CLAXTON,GA,30417,EVANS,32.16588,-81.89902,49.0,,49.0,0.07,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10030417,914.0,110142.0,10030417.0,13109
13,CROTCHED MOUNTAIN REHABILITATION CENTER,REHABILITATION,1 VERNEY DRIVE,,GREENFIELD,NH,3047,HILLSBOROUGH,42.97187,-71.87454,,,62.0,,,None,None,HIFLD-BEDS,None,None,1003047,,,1003047.0,33011
14,NORTHWEST MEDICAL CENTER,GENERAL ACUTE CARE,1530 U. S. HWY 43,,WINFIELD,AL,35594,MARION,33.93054,-87.82451999999999,61.0,4.0,71.0,0.15,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10035594,75.0,10086.0,10035594.0,01093
15,TRINITY MEDICAL CENTER - 7TH STREET CAMPUS - DBA TRINITY MOLINE,GENERAL ACUTE CARE,"500 JOHN DEERE ROAD, 7TH STREET CAMPUS",,MOLINE,IL,61265,ROCK ISLAND,41.468309999999995,-90.53098,,,,,,None,None,,None,None,100361265,,,100361265.0,17161
16,TROUSDALE MEDICAL CENTER,CRITICAL ACCESS,500 CHURCH STREET,,HARTSVILLE,TN,37074,TROUSDALE,36.38783,-86.16816,25.0,,25.0,0.14,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10037074,3545.0,441301.0,10037074.0,47169
17,TALLAHATCHIE GENERAL HOSPITAL,CRITICAL ACCESS,201 SOUTH MARKET STREET,PO BOX 230,CHARLESTON,MS,38921,TALLAHATCHIE,34.004059999999996,-90.05883,9.0,,18.0,1.38,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10038921,4460.0,251304.0,10038921.0,28135
18,YORK HOSPITAL,GENERAL ACUTE CARE,15 HOSPITAL DRIVE,,YORK,ME,3909,YORK,43.142520000000005,-70.65175,66.0,5.0,79.0,0.53,0.67,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1003909,1746.0,200020.0,1003909.0,23031
19,ST. ELIZABETH FLORENCE,GENERAL ACUTE CARE,4900 HOUSTON ROAD,,FLORENCE,KY,41042,BOONE,39.01659,-84.63077,126.0,18.0,231.0,0.78,0.64,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10041042,1531.0,180045.0,10041042.0,21015
20,TRINITY MEDICAL CTR EAST,GENERAL ACUTE CARE,380 SUMMIT AVENUE,,STEUBENVILLE,OH,43952,JEFFERSON,40.35476,-80.6255,,,244.0,,,None,None,HIFLD-BEDS,None,None,10043952,,,10043952.0,39081
21,VALLEY WEST COMMUNITY HOSPITAL,CRITICAL ACCESS,1302 NORTH MAIN STREET,,SANDWICH,IL,60548,DEKALB,41.65719,-88.62073000000001,25.0,4.0,25.0,0.196932,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,100460548,1083.0,,100460548.0,17037
22,OAKLAWN PSYCHIATRIC CENTER INC,PSYCHIATRIC,330 LAKEVIEW DR,,GOSHEN,IN,46527,ELKHART,41.6036,-85.83949,16.0,0.0,16.0,0.8208904109589041,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10046527,4599.0,154031.0,10046527.0,18039
