FIPS,Mask_Usage_NEVER,Mask_Usage_RARELY,Mask_Usage_SOMETIMES,Mask_Usage_FREQUENTLY,Mask_Usage_ALWAYS,Mask_Usage_Combined,Count_Less_HighSchool,Count_HighSchool,Count_Less_College,Count_Higher_College,Percent_Less_HighSchool,Percent_HighSchool,Percent_Less_College,Percent_Higher_College,Trump_Win,Biden_Win,Unemployment_2019_Value,Poverty_Estimates_Value,Population_Density,COVID_Average_Confirmed,COVID_Average_Death,Crime_per_100K,Series_Complete_Pop_Pct,Change_in_Movement,Intouch_users_Proportion,COVID_Essential_Workers_pct_essential,Total_Federal_Investment,COVID_Hospital_Occupancy_Rate,COVID_Hospital_All_Beds,COVID_Average_Testing,Total_Population,Urban_Population,Rural_Population,Percent_Rural,Updated_Change_in_Movement
01000,NA,NA,NA,NA,NA,NA,"458,922","1,022,839","993,344","845,772",0.138,0.308,0.299,0.255,NA,NA,3,747478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,0.053,0.074,0.134,0.295,0.444,3.95,"4,291","12,551","10,596","9,929",0.115,0.336,0.284,0.266,1,0,2.7,6723,35.85341899,16.83076923076923,0.25384615384615383,251.6019259,31.8,-0.05196923076923077,0.19531307692307692,0.4687627436587554,NA,0.575,140,173.74615384615385,"54,571","31,650","22,921",0.42,-0.06623384615384616
01003,0.083,0.059,0.098,0.323,0.436,3.8840000000000003,"13,893","41,797","47,274","48,148",0.092,0.27699999999999997,0.313,0.319,1,0,2.7,22360,50.54150356,93.98461538461538,0.12307692307692307,228.086325,40,0.04598384615384615,0.17088846153846154,0.4509259551377102,1437379,0.5483556454960564,748,554.1846153846154,"182,265","105,205","77,060",0.423,-0.08478230769230768
01005,0.067,0.121,0.12,0.201,0.491,3.861,"4,812","6,396","4,676","2,080",0.268,0.35600000000000004,0.26,0.11599999999999999,1,0,3.8,5909,11.24798121,10.299999999999999,0.06153846153846154,177.2787709,33.1,-0.06379846153846154,0.1729153846153846,0.5830262688696065,NA,0.425,104,41.97692307692308,"27,457","8,844","18,613",0.6779999999999999,-0.0011530769230769233
01007,0.02,0.034,0.096,0.278,0.572,4.328,"3,386","7,256","3,848","1,678",0.209,0.449,0.23800000000000002,0.10400000000000001,1,0,3.1,4101,13.973114,5.592307692307692,0.007692307692307693,217.6616915,27.9,-0.05512307692307692,0.20209153846153846,0.6157147967091928,NA,0.185,60,36.63846153846154,"22,915","7,252","15,663",0.684,-0.025676923076923073
01009,0.053,0.114,0.18,0.194,0.459,3.839,"7,763","13,299","13,519","5,210",0.195,0.33399999999999996,0.34,0.131,1,0,2.7,9324,34.51581642,15.792307692307693,0,210.8100636,23.9,-0.05228846153846154,0.18563846153846153,0.5759912396769631,NA,0.42000000000000004,50,100.02307692307693,"57,322","5,760","51,562",0.9,0.004957692307692302
01011,0.031,0.04,0.144,0.286,0.5,4.156,"1,798","2,860","1,587",856,0.253,0.40299999999999997,0.223,0.121,0,1,3.6,2537,6.41761955,2.5076923076923077,0.05384615384615385,526.3652599,40.8,NA,NA,0.6573280852049086,NA,0.105,91,25.876923076923077,"10,914","5,307","5,607",0.514,NA
01013,0.102,0.053,0.257,0.137,0.451,3.6799999999999997,"2,066","6,244","3,279","2,230",0.15,0.452,0.237,0.161,1,0,3.6,4124,9.952770785,4.392307692307693,0.11538461538461539,537.8731804,31.1,-0.030227692307692306,0.20003692307692308,0.5935687263556116,NA,0.18330635118306354,160,50.80769230769231,"20,947","6,026","14,921",0.7120000000000001,-0.09492615384615384
01015,0.152,0.108,0.13,0.167,0.442,3.484,"12,315","25,940","26,233","14,620",0.156,0.32799999999999996,0.332,0.185,1,0,3.5,18988,73.348688,29.53076923076923,0.007692307692307693,580.7976974,36.6,-0.029852307692307692,0.18726,0.5490228829129781,51817164.42,0.48124274677267176,1036,211.1923076923077,"118,572","78,617","39,955",0.337,-0.023830769230769232
01017,0.117,0.037,0.15,0.136,0.56,3.8680000000000003,"4,372","8,739","7,515","3,163",0.184,0.36700000000000005,0.316,0.133,1,0,2.9,6415,21.89263808,10.338461538461539,0.11538461538461539,562.0279843,25,-0.04093846153846154,0.18520692307692307,0.6264703905357263,NA,0,115,66.93076923076923,"34,215","17,399","16,816",0.491,-0.00791615384615385
01019,0.135,0.027,0.161,0.158,0.52,3.769,"3,478","7,598","5,391","2,407",0.184,0.40299999999999997,0.28600000000000003,0.128,1,0,2.9,4121,18.0333283,5.776923076923077,0,415.9829027,25.6,-6.284615384615389e-4,0.18655846153846153,0.6676352705410822,NA,0.12,105,32.15384615384615,"25,989","3,707","22,282",0.857,0.009667692307692306
01021,0.06,0.07,0.058,0.194,0.618,4.18,"5,474","13,348","7,401","3,823",0.182,0.444,0.24600000000000002,0.127,1,0,2.7,7044,24.48066939,13.876923076923077,0.007692307692307693,354.9407294,27.8,-0.04343846153846154,0.16872846153846152,0.5870135798242611,NA,0.185,56,109.47692307692307,"43,643","5,785","37,858",0.867,-0.04246846153846154
01023,0.049,0.038,0.126,0.219,0.568,4.17,"1,737","3,515","2,964","1,113",0.18600000000000003,0.377,0.318,0.11900000000000001,1,0,4.7,2811,5.526508604,3.3,0,96.82705199,51,-0.10446692307692308,0.1940876923076923,0.6046010064701653,NA,0.115,50,11.23076923076923,"13,859",0,"13,859",1,NA
01025,0.049,0.088,0.164,0.268,0.43,3.8899999999999997,"3,259","7,005","4,456","2,050",0.19399999999999998,0.418,0.266,0.122,1,0,5.8,4281,7.603131652,21.1,0.05384615384615385,480.0253898,40.3,-0.10244923076923076,0.1927923076923077,0.6407979407979408,NA,0.1575,141,82.77692307692308,"25,833","6,205","19,628",0.76,0.0034407692307692334
01027,0.148,0.158,0.195,0.169,0.329,3.222,"2,205","3,577","2,678",999,0.233,0.37799999999999995,0.28300000000000003,0.106,1,0,3,2156,8.552331345,3.0615384615384618,0,430.075634,33,-0.041389999999999996,0.18003153846153847,0.6484530486701646,NA,0.35,92,23.892307692307693,"13,932",0,"13,932",1,-0.012512499999999996
01029,0.151,0.125,0.138,0.217,0.368,3.372,"2,198","3,980","2,687","1,616",0.21,0.38,0.256,0.154,1,0,3.2,1945,10.29735391,2.746153846153846,0,193.4106976,24.3,-0.03739230769230769,0.21291615384615384,0.5477483791834589,NA,NA,NA,13.876923076923077,"14,972",0,"14,972",1,-0.15455230769230768
01031,0.101,0.152,0.094,0.186,0.466,3.66,"4,967","9,615","12,667","8,044",0.141,0.272,0.359,0.228,1,0,2.9,7734,29.16467291,12.2,0.17692307692307693,341.591739,30.8,-0.05748615384615385,0.17670923076923079,0.5598210617610809,5550702.4,0.31000000000000005,230,72.20769230769231,"49,948","26,375","23,573",0.47200000000000003,-0.023365384615384614
01033,0.082,0.096,0.152,0.159,0.51,3.8339999999999996,"5,783","14,740","11,366","7,070",0.14800000000000002,0.37799999999999995,0.292,0.18100000000000002,1,0,3.7,7998,35.49694998,22.384615384615383,0.05384615384615385,482.3917828,39.7,-0.012666923076923076,0.17374923076923077,0.5716976173791171,NA,0.295,683,134.8,"54,428","30,537","23,891",0.439,-0.017636923076923074
01035,0.099,0.052,0.259,0.192,0.399,3.644,"1,384","4,516","1,805","1,128",0.157,0.511,0.204,0.128,1,0,4,2662,5.682995171,6.161538461538462,0.3076923076923077,644.0599053,33.6,0.02515230769230769,0.15743923076923078,0.6420132325141777,824397,0.145,102,28.323076923076922,"13,228","2,520","10,708",0.809,NA
01037,0.055,0.131,0.167,0.263,0.384,3.735,"1,652","3,327","2,221","1,059",0.2,0.40299999999999997,0.26899999999999996,0.128,1,0,3,1789,6.438885282,1.4615384615384615,0,192.6959075,33,-0.02066923076923077,0.18755153846153846,0.6075678248453118,NA,NA,NA,12.676923076923076,"11,539",0,"11,539",1,NA
01039,0.187,0.128,0.129,0.201,0.356,3.227,"4,366","9,819","8,119","4,020",0.166,0.373,0.308,0.153,1,0,3.4,6269,13.99370346,15.2,0.5384615384615384,258.6707491,30.3,-0.04405923076923077,0.1928353846153846,0.5721225205775199,5778792.6,0.48749999999999993,315,95.33076923076923,"37,765","11,461","26,304",0.6970000000000001,0.004342307692307694
01041,0.06,0.091,0.199,0.233,0.416,3.791,"2,016","3,830","2,157","1,687",0.20800000000000002,0.395,0.223,0.174,1,0,2.8,2289,8.792273306,2.1538461538461537,0,479.0504791,27.5,-0.04334153846153846,0.16327538461538463,0.5712773465067043,NA,0.03,122,16,"13,906",0,"13,906",1,0.0010369230769230811
01043,0.13,0.024,0.249,0.217,0.379,3.558,"10,648","19,668","19,406","8,004",0.184,0.341,0.336,0.139,1,0,2.6,10088,43.25267563,24.215384615384615,0.19230769230769232,237.591417,31.4,-0.012234615384615384,0.17291692307692308,0.5836741848778778,NA,0.4155821917808219,370,195.0076923076923,"80,406","21,517","58,889",0.732,-0.030136923076923075
01045,0.089,0.113,0.118,0.22,0.46,3.7600000000000002,"4,651","10,819","11,961","6,078",0.139,0.32299999999999995,0.35700000000000004,0.18100000000000002,1,0,3.1,8727,33.89312549,20.392307692307693,0.06923076923076923,410.9534119,41.9,-0.08724230769230769,0.1884823076923077,0.5486828942980994,NA,0.26,166,98.44615384615385,"50,251","24,679","25,572",0.509,-0.031290769230769226
01047,0.095,0.1,0.159,0.122,0.524,3.785,"4,757","9,411","8,178","3,854",0.182,0.359,0.312,0.147,0,1,5.5,9533,15.79103338,18.038461538461537,0.07692307692307693,828.6503477,33.1,-0.006687692307692308,0.20847615384615384,0.5938523733184637,3047838.4,0.565,284,130.75384615384615,"43,820","23,821","19,999",0.456,-0.01765
01049,0.084,0.051,0.106,0.179,0.58,4.036,"12,072","16,431","13,241","6,246",0.252,0.342,0.276,0.13,1,0,2.8,12848,35.37577983,36.26923076923077,0.12307692307692307,381.6202667,25.5,-0.001010000000000001,0.16995076923076924,0.608455076082189,NA,0.39,231,190.46153846153845,"71,109","7,018","64,091",0.9009999999999999,-0.05923615384615385
01051,0.042,0.095,0.127,0.252,0.485,4.004,"7,503","18,232","16,298","14,060",0.134,0.325,0.29100000000000004,0.251,1,0,2.6,8753,50.70144021,24.307692307692307,0.5615384615384615,284.2945786,34.7,-0.05710307692307692,0.18787,0.4684025746050322,743132.7,0.21250000000000002,199,206,"79,303","36,330","42,973",0.542,-0.06207230769230769
01053,0.114,0.026,0.188,0.285,0.387,3.691,"4,878","11,308","6,449","3,224",0.18899999999999997,0.43700000000000006,0.249,0.125,1,0,3.5,6980,15.24764898,22.038461538461537,0.16153846153846152,618.6978385,27.8,-0.012005384615384617,0.1790076923076923,0.5867354919443141,NA,0.36,237,103.18461538461538,"38,319","13,982","24,337",0.635,-0.05890461538461539
01055,0.096,0.103,0.178,0.122,0.501,3.7329999999999997,"11,127","23,668","24,422","12,815",0.154,0.32899999999999996,0.33899999999999997,0.17800000000000002,1,0,3.3,18801,74.25054812,42.65384615384615,0.046153846153846156,513.8024266,32,-0.06375923076923076,0.19998076923076924,0.563094958968347,14324163.91,0.3858706321881181,1329,279.9076923076923,"104,430","65,286","39,144",0.375,-0.05662692307692307
01057,0.138,0.048,0.151,0.233,0.429,3.626,"2,037","4,831","3,387","1,451",0.174,0.413,0.289,0.124,1,0,3.1,2721,10.20180135,4.084615384615384,0.007692307692307693,230.6464013,28,0.016534615384615387,0.19480769230769232,0.6195360580716427,NA,0.15,106,43.792307692307695,"17,241","3,408","13,833",0.802,NA
01059,0.065,0.071,0.223,0.156,0.484,3.855,"4,739","7,601","5,539","2,907",0.228,0.366,0.266,0.14,1,0,2.8,4989,19.21135615,8.807692307692307,0.33076923076923076,497.9068882,35.2,-0.04248,0.1806346153846154,0.5950155763239875,NA,0.295,199,64.6,"31,704","9,395","22,309",0.7040000000000001,-0.10445692307692307
01061,0.176,0.131,0.089,0.158,0.445,3.386,"3,672","6,714","5,943","2,331",0.19699999999999998,0.36,0.318,0.125,1,0,2.9,4180,17.80431585,7.038461538461538,0,318.0304561,30.6,-0.0838076923076923,0.19377384615384616,0.5818923644841655,NA,0.19,156,31.846153846153847,"26,790","2,775","24,015",0.8959999999999999,0.029948461538461535
01063,0.03,0.053,0.127,0.167,0.623,4.2700000000000005,"1,204","2,237","1,766",586,0.20800000000000002,0.386,0.305,0.10099999999999999,0,1,5.6,2553,5.028100131,2.753846153846154,0.12307692307692308,903.4766697,38.7,-0.14724500000000001,0.15087,0.6139398998330551,NA,0.03,40,21.46153846153846,"9,045",0,"9,045",1,NA
